"category","raw_cell","abbr"
"above_federal","AK $14.00","AK"
"above_federal","AR $11.00","AR"
"above_federal","AZ $15.15","AZ"
"above_federal","CA $16.90","CA"
"above_federal","CO $15.16","CO"
"above_federal","CT $16.94","CT"
"above_federal","DC $18.40","DC"
"above_federal","DE $15.00","DE"
"above_federal","FL $14.00","FL"
"above_federal","HI $16.00","HI"
"above_federal","IL $15.00","IL"
"above_federal","MA $15.00","MA"
"above_federal","MD $15.00","MD"
"above_federal","ME $15.10","ME"
"above_federal","MI $13.73","MI"
"above_federal","MN $11.41","MN"
"above_federal","MO $15.00","MO"
"above_federal","MT $10.85","MT"
"above_federal","NE $15.00","NE"
"above_federal","NJ $15.92 or $15.23","NJ"
"above_federal","NM $12.00","NM"
"above_federal","NV $12.00","NV"
"above_federal","NY $17.00 or $16.00","NY"
"above_federal","OH $11.00 or $7.25","OH"
"above_federal","OR $16.80 or $15.55 or $14.55","OR"
"above_federal","PR $10.50","PR"
"above_federal","RI $16.00","RI"
"above_federal","SD $11.85","SD"
"above_federal","VA $12.77","VA"
"above_federal","VT $14.42","VT"
"above_federal","WA $17.13","WA"
"above_federal","WV $8.75","WV"
"above_federal","VI $10.50","VI"
"above_federal","GU $9.25","GU"
"above_federal","30 States + DC, GU, PR & VI",
"equal_federal","CNMI",
"equal_federal","IA","IA"
"equal_federal","ID","ID"
"equal_federal","IN","IN"
"equal_federal","KS","KS"
"equal_federal","KY","KY"
"equal_federal","NC","NC"
"equal_federal","ND","ND"
"equal_federal","NH","NH"
"equal_federal","OK","OK"
"equal_federal","PA","PA"
"equal_federal","TX","TX"
"equal_federal","UT","UT"
"equal_federal","WI","WI"
"equal_federal","13 States + CNMI",
"no_or_lower_state_floor","AL","AL"
"no_or_lower_state_floor","GA","GA"
"no_or_lower_state_floor","LA","LA"
"no_or_lower_state_floor","MS","MS"
"no_or_lower_state_floor","SC","SC"
"no_or_lower_state_floor","TN","TN"
"no_or_lower_state_floor","WY","WY"
"no_or_lower_state_floor","AS","AS"
"no_or_lower_state_floor","7 States + AS",
