"Rank","State","Index","Grocery","Housing","Utilities","Transportation","Health","Misc.","cost_period"
"1","Oklahoma",83,94.1,65.1,97.6,83.9,96.7,87.8,"Second Quarter 2026"
"2","Alabama",86,95.2,68.6,94.1,90.9,85.2,93.8,"Second Quarter 2026"
"3","Iowa",86.1,96.2,70.6,81.7,93.5,93,93.4,"Second Quarter 2026"
"4","West Virginia",87,96.4,69.9,93.3,97.7,88.6,93.4,"Second Quarter 2026"
"5","Kansas",87.1,95.3,78.7,96,84.4,89.4,88.9,"Second Quarter 2026"
"6","Mississippi",87.4,94.2,70.8,97.4,92.3,84.8,95.6,"Second Quarter 2026"
"7","Missouri",88.2,95.3,77.7,94,85.3,95.4,92.6,"Second Quarter 2026"
"8","Arkansas",89,94.6,76.9,98.7,91.5,85.5,94.6,"Second Quarter 2026"
"9","Indiana",89.7,98.2,77.5,92.7,98.1,89.7,93.7,"Second Quarter 2026"
"10","Tennessee",89.7,96.3,80,88,93,89.5,95,"Second Quarter 2026"
"11","Georgia",90.1,97.2,77.6,98,90.7,100.2,94.1,"Second Quarter 2026"
"12","Nebraska",90.1,98.8,76.5,89.4,85.6,104.4,97.6,"Second Quarter 2026"
"13","New Mexico",90.2,95.8,82.4,79.4,92.7,100.3,95.2,"Second Quarter 2026"
"14","North Dakota",90.5,95.5,77,82.9,91.5,106.7,99.4,"Second Quarter 2026"
"15","Texas",90.8,96,77.2,100.6,95.9,97.6,95.7,"Second Quarter 2026"
"16","Louisiana",91.3,95.2,81.3,85.8,95.3,95.4,98.2,"Second Quarter 2026"
"17","Michigan",92.1,99.1,82.9,98.1,97.7,86.9,94.8,"Second Quarter 2026"
"18","South Carolina",92.7,99.1,79.5,95.4,97.3,99,98.6,"Second Quarter 2026"
"19","Ohio",93,98.6,85.8,96.3,92.7,96.7,95.4,"Second Quarter 2026"
"20","Minnesota",93.4,99.2,79.1,95.4,93,114.4,100,"Second Quarter 2026"
"21","South Dakota",93.5,98.4,86.3,84.5,94.4,107.4,97.5,"Second Quarter 2026"
"22","Kentucky",94,102,79.4,87,98.4,94.8,103.8,"Second Quarter 2026"
"23","Wyoming",94.4,99.6,88.5,88,89.5,97.7,99.6,"Second Quarter 2026"
"24","Illinois",94.5,98.9,83.3,99.9,100.8,104.2,98.1,"Second Quarter 2026"
"25","Pennsylvania",95.3,98.7,84.8,109.5,99.4,97.6,98.2,"Second Quarter 2026"
"26","Wisconsin",95.7,99.2,91.2,96.6,96.1,102.9,96.8,"Second Quarter 2026"
"27","North Carolina",96.7,101,91.4,96.2,94.2,107.9,98.8,"Second Quarter 2026"
"28","Utah",98.4,98.5,102.9,81.5,104.4,90.4,98.3,"Second Quarter 2026"
"29","Virginia",99,100.4,99.3,98.8,99.6,95.6,98.4,"Second Quarter 2026"
"30","Idaho",99.4,103.8,98.4,73.9,105.6,99.7,103.2,"Second Quarter 2026"
"31","Delaware",100.6,101.6,99.1,99.7,96.8,103,102.3,"Second Quarter 2026"
"32","Florida",100.8,104.9,99.3,97.5,103.3,102.8,100.1,"Second Quarter 2026"
"33","Puerto Rico",101.1,107.8,96.5,164.1,94.3,68.7,92.6,"Second Quarter 2026"
"34","Colorado",102.7,101.1,108.6,85.4,97.5,101.8,104.2,"Second Quarter 2026"
"35","Connecticut",103.6,103,97,124.3,99.3,105.3,105.4,"Second Quarter 2026"
"36","Nevada",105.4,103.2,119,75.8,117,105.4,98.7,"Second Quarter 2026"
"37","Montana",106,103.8,114.9,80.7,101.4,103.9,106.9,"Second Quarter 2026"
"38","New Hampshire",108.5,99.8,113.9,115.9,100.4,103.7,108.4,"Second Quarter 2026"
"39","Arizona",108.6,99.6,120.5,102.4,107.1,98,105.5,"Second Quarter 2026"
"40","Oregon",110.4,103.7,118.8,97.7,118.6,115.4,106.3,"Second Quarter 2026"
"41","Rhode Island",110.9,103.4,117.1,123.1,97.4,103,110.2,"Second Quarter 2026"
"42","Maine",112.9,101.1,128.5,128.3,96.9,115.8,104.3,"Second Quarter 2026"
"43","Vermont",113.4,100.1,128.2,113.7,100.2,109,110.4,"Second Quarter 2026"
"44","Washington",115.1,105.4,124.6,100.6,128.7,111.3,111.8,"Second Quarter 2026"
"45","Maryland",118.8,108.2,144.1,116.1,105.2,105.2,107.4,"Second Quarter 2026"
"46","New Jersey",119.2,107.6,145.1,108.7,103.6,116.1,108.8,"Second Quarter 2026"
"47","Alaska",124.5,125.1,126.7,148.9,98.6,130.6,122.1,"Second Quarter 2026"
"48","New York",132.6,102.5,194.8,108.7,104.6,108.9,108,"Second Quarter 2026"
"49","District of Columbia",133.8,108,186.9,110.3,107.6,119.7,113.3,"Second Quarter 2026"
"50","California",140.3,110,192.1,131.5,137.1,110.4,115.6,"Second Quarter 2026"
"51","Massachusetts",148.1,105.3,213.2,159.8,106.8,129.7,120.2,"Second Quarter 2026"
"52","Hawaii",185.8,135.8,302.6,207.3,136.9,103,124.5,"Second Quarter 2026"
"**","United States",100,100,100,100,100,100,100,"Second Quarter 2026"
