"state","wage","cost_index","adjusted","nominal_rank","adjusted_rank","rank_gain"
"Missouri",15,88.2,17.0068027210884,10,1,9
"Nebraska",15,90.1,16.6481687014428,10,2,8
"Connecticut",16.94,103.6,16.3513513513514,3,3,0
"Illinois",15,94.5,15.8730158730159,10,4,6
"Delaware",15,100.6,14.9105367793241,10,5,5
"Michigan",13.73,92.1,14.9077090119435,19,6,13
"Washington",17.13,115.1,14.8827106863597,2,7,-5
"Colorado",15.16,102.7,14.761441090555,7,8,-1
"Rhode Island",16,110.9,14.4274120829576,5,9,-4
"Arizona",15.15,108.6,13.9502762430939,8,10,-2
"Florida",14,100.8,13.8888888888889,17,11,6
"District of Columbia",18.4,133.8,13.7518684603886,1,12,-11
"Maine",15.1,112.9,13.3746678476528,9,13,-4
"New Mexico",12,90.2,13.3037694013304,21,14,7
"Virginia",12.77,99,12.8989898989899,20,15,5
"Vermont",14.42,113.4,12.716049382716,16,16,0
"South Dakota",11.85,93.5,12.6737967914438,23,17,6
"Maryland",15,118.8,12.6262626262626,10,18,-8
"Arkansas",11,89,12.3595505617978,25,19,6
"Minnesota",11.41,93.4,12.2162740899358,24,20,4
"California",16.9,140.3,12.0456165359943,4,21,-17
"Nevada",12,105.4,11.3851992409867,21,22,-1
"Alaska",14,124.5,11.2449799196787,17,23,-6
"Montana",10.85,106,10.2358490566038,26,24,2
"Massachusetts",15,148.1,10.1282916948008,10,25,-15
"West Virginia",8.75,87,10.0574712643678,27,26,1
"Oklahoma",7.25,83,8.73493975903614,28,27,1
"Hawaii",16,185.8,8.61141011840689,5,28,-23
"Alabama",7.25,86,8.43023255813953,28,29,-1
"Iowa",7.25,86.1,8.42044134727062,28,30,-2
"Kansas",7.25,87.1,8.32376578645235,28,31,-3
"Mississippi",7.25,87.4,8.29519450800915,28,32,-4
"Indiana",7.25,89.7,8.082497212932,28,33,-5
"Tennessee",7.25,89.7,8.082497212932,28,33,-5
"Georgia",7.25,90.1,8.04661487236404,28,35,-7
"North Dakota",7.25,90.5,8.01104972375691,28,36,-8
"Texas",7.25,90.8,7.98458149779736,28,37,-9
"Louisiana",7.25,91.3,7.9408543263965,28,38,-10
"South Carolina",7.25,92.7,7.82092772384035,28,39,-11
"Kentucky",7.25,94,7.71276595744681,28,40,-12
"Wyoming",7.25,94.4,7.68008474576271,28,41,-13
"Pennsylvania",7.25,95.3,7.60755508919203,28,42,-14
"Wisconsin",7.25,95.7,7.57575757575758,28,43,-15
"North Carolina",7.25,96.7,7.49741468459152,28,44,-16
"Utah",7.25,98.4,7.36788617886179,28,45,-17
"Idaho",7.25,99.4,7.29376257545272,28,46,-18
"New Hampshire",7.25,108.5,6.68202764976959,28,47,-19
