"year","age_group","sex","w","in_lf_w","rate"
2019,"16–24","Men",18992877.0033,10505435.4091,55.3125016672023
2019,"16–24","Women",18780558.9985,10216397.1097,54.398791380576
2019,"25–54","Men",62265675.983,55929769.5366,89.8243994843486
2019,"25–54","Women",63968548.9937,48301001.2911,75.5074205229463
2019,"55–64","Men",20308366.9984,14471039.1876,71.2565377055679
2019,"55–64","Women",21887526.9978,13136690.2361,60.0190703930162
2019,"65+","Men",23469732.0009,5752382.309,24.5097912016184
2019,"65+","Women",28863462.0016,4951953.3351,17.1564773997849
2024,"16–24","Men",19600560.0081,11124612.3843,56.7566048097744
2024,"16–24","Women",19278507.9972,10736605.262,55.692096419284
2024,"25–54","Men",63842432.0051,57027590.0568,89.3255289088054
2024,"25–54","Women",64675235,50573578.459,78.1962036303386
2024,"55–64","Men",20194812.0027,14595763.2278,72.2748160559681
2024,"55–64","Women",21126919.003,13029285.8624,61.6714905782043
2024,"65+","Men",26967086.9964,6468024.5081,23.984883902972
2024,"65+","Women",32198637.0015,5303910.6581,16.4724694956899
